"DC_TITLE","DC_PUBLISHER","DC_IDENTIFIER","DC_SOURCE","DC_LANGUAGE","DC_RELATION","DTB_REVISION","LB_DURATION","LB_MESSAGE_FORMAT","LB_TARGET_AUDIENCE","LB_DATE_RECORDED","LB_KEYWORDS","LB_TIMING","LB_PRIMARY_SPEAKER","LB_GOAL","LB_ENGLISH_TRANSCRIPTION","LB_NOTES","LB_BENEFICIARY","LB_STATUS","CATEGORIES","QUALITY","PROJECT"
"b-36343166_0073_0001_9B05EEA8","b-36343166","b-36343166_9B05EEA8","Doggoh-Jirapa","dga","","0","213","","","2067/07/23","","2015-5:0073","HH Rotation 0:Day ﶴ","","","","","","General Feedback","l","UWR"
"b-36343166_0072_0002_601598B3","b-36343166","b-36343166_601598B3","Doggoh-Jirapa","dga","","0","144","","","2067/07/23","","2015-5:0072","HH Rotation 0:Day ﶴ","","","","","","General Feedback","l","UWR"
"Summary: Post harvest loss","b-36343166","b-36343166_BC28DCB8","Doggoh-Jirapa","dga","","1","219","","","2067/07/23","","2015-5:0073","HH Rotation 0:Day ﶴ","","","","","","General Feedback","l","UWR"
"Storage #","b-36343166","b-36343166_92946F8F","Doggoh-Jirapa","dga","","1","349","","","2067/07/23","","2015-5:0073","HH Rotation 0:Day ﶴ","","","","","","General Feedback","l","UWR"
"b-36343166_0073_0004_3EC6F880","b-36343166","b-36343166_3EC6F880","Doggoh-Jirapa","dga","","0","227","","","2067/07/23","","2015-5:0073","HH Rotation 0:Day ﶴ","","","","","","General Feedback","l","UWR"
"b-36343166_0075_0001_3E0EE050","b-36343166","b-36343166_3E0EE050","Doggoh-Jirapa","dga","","0","242","","","2067/07/23","","2015-5:0075","HH Rotation 0:Day ﶴ","","","","","","General Feedback","l","UWR"
"b-36343166_0075_0002_9E68EC4A","b-36343166","b-36343166_9E68EC4A","Doggoh-Jirapa","dga","","0","236","","","2067/07/23","","2015-5:0075","HH Rotation 0:Day ﶴ","","","","","","General Feedback","l","UWR"
"Kindergarten education is the foundation of education","b-36343166","b-36343166_0CB4E870","Singing group","dga","","7","315","Song","Parents","2067/07/23","school, birth certificate, 4 years","2015-5:0075","HH Rotation 0:Day ﶴ","To encourage parents to enroll their children in Kindergarten when they are 4 years old and  support them to complete school","","","","","General Feedback","l","UWR"
"b-36343166_0075_0004_57160838","b-36343166","b-36343166_57160838","Doggoh-Jirapa","dga","","0","407","","","2067/07/23","","2015-5:0075","HH Rotation 0:Day ﶴ","","","","","","General Feedback","l","UWR"
"b-36343166_0065_0001_6501B8AC","b-36343166","b-36343166_6501B8AC","Doggoh-Jirapa","dga","","0","5","","","2071/07/12","","2015-5:0065","","","","","","","General Health","l","UWR"
"b-36343166_0065_0002_EF09D016","b-36343166","b-36343166_EF09D016","Doggoh-Jirapa","dga","","0","2","","","2071/07/12","","2015-5:0065","","","","","","","General Health","l","UWR"
"b-36343166_0065_0003_FD4A9E15","b-36343166","b-36343166_FD4A9E15","Doggoh-Jirapa","dga","","0","6","","","2071/07/12","","2015-5:0065","","","","","","","General Health","l","UWR"
"b-36343166_0065_0004_21564289","b-36343166","b-36343166_21564289","Doggoh-Jirapa","dga","","0","8","","","2071/07/12","","2015-5:0065","","","","","","","General Health","l","UWR"
"b-36343166_0065_0005_D162115E","b-36343166","b-36343166_D162115E","Doggoh-Jirapa","dga","","0","19","","","2071/07/12","","2015-5:0065","","","","","","","General Health","l","UWR"
"b-36343166_0065_0007_177C5D3E","b-36343166","b-36343166_177C5D3E","Doggoh-Jirapa","dga","","0","5","","","2071/07/12","","2015-5:0065","","","","","","","General Health","l","UWR"
"b-36343166_0065_0008_2494028E","b-36343166","b-36343166_2494028E","Doggoh-Jirapa","dga","","0","5","","","2071/07/12","","2015-5:0065","","","","","","","General Health","l","UWR"
"b-36343166_0065_0009_549B7346","b-36343166","b-36343166_549B7346","Doggoh-Jirapa","dga","","0","8","","","2071/07/12","","2015-5:0065","","","","","","","General Health","l","UWR"
"b-36343166_0065_0010_36B9DAA3","b-36343166","b-36343166_36B9DAA3","Doggoh-Jirapa","dga","","0","38","","","2071/07/12","","2015-5:0065","","","","","","","General Health","l","UWR"
"b-36343166_0065_0012_8FD88136","b-36343166","b-36343166_8FD88136","Doggoh-Jirapa","dga","","0","8","","","2071/07/12","","2015-5:0065","","","","","","","General Health","l","UWR"
"August_September-Agric___b-36343166_601598B3 - Copy","","LB-2_tfnz1palq3_b","","en","","1","144","","","","","","","","","","","","General Feedback","l","UWR"
"Introduction-Storage___b-36343166_92946F8F - Copy","","LB-2_tfnz1palq3_c","","en","","1","349","","","","","","","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0004_C5253868","B-00030295","B-00030295_C5253868","YIBILE-JIRAPA","dga","","0","4","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0007_843C2820","B-00030295","B-00030295_843C2820","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0011_D756A9D8","B-00030295","B-00030295_D756A9D8","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0022_22A15928","B-00030295","B-00030295_22A15928","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0031_CFDABD38","B-00030295","B-00030295_CFDABD38","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"Immunization #2","","LB-2_tfnz1palq3_j","","en","","2","278","","","","","","","","","","","","General Agriculture","l","UWR"
"Immunization #","","LB-2_tfnz1palq3_k","","en","","2","91","","","","","","","","","","","","General Agriculture","l","UWR"
"B-00030295_0006_0034_BDF114B8","B-00030295","B-00030295_BDF114B8","YIBILE-JIRAPA","dga","","0","5","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"B-00030295_0006_0035_E7F7C828","B-00030295","B-00030295_E7F7C828","YIBILE-JIRAPA","dga","","0","6","","","2015/06/20","","2015-08:0006","HH Rotation 0:Day 006","","","","","","General Feedback","l","UWR"
"Immunization","","LB-2_tfnz1palq3_n","","en","","2","278","","","","","","","","","","","","General Agriculture","l","UWR"
"B-00030295_9-0_D5A28EA5","","LB-2_tfnz1palq3_o","","en","","1","91","","","","","","","","","","","","General Agriculture","l","UWR"
"B-00030295_9-0_D5A28EA5","","LB-2_tfnz1palq3_w","","en","","1","91","","","","","","","","","","","","General Agriculture","l","UWR"
"b-36343166_0085_0014_030C34C0","b-36343166","b-36343166_030C34C0","Doggoh-Jirapa","dga","","0","517","","","2067/07/28","","2015-5:0085","HH Rotation 0:Day ﶹ","","","","","","General Feedback","l","UWR"
"b-36343166_0085_0013_D3FE7B58","b-36343166","b-36343166_D3FE7B58","Doggoh-Jirapa","dga","","0","1","","","2067/07/28","","2015-5:0085","HH Rotation 0:Day ﶹ","","","","","","General Feedback","l","UWR"
"August/September health messages","","LB-2_tfnz1palq3_x","","dga","","6","162","Lecture","All","","","","","To raise awareness that the Talking Book has been updated with new messages and that households will continue to receive new messages any time the Talking Book leaves and comes back to their home","","","","","General Feedback","l","UWR"
"Malaria control with LLINS","","LB-2_tfnz1palq3_y","","dga","","7","729","Drama","All","","LLIN, mosquito, net hang properly, underneath","","","To encourage homes to use LLINs effectively and to care for them correctly","","","","","General Feedback","l","UWR"
"Kindergarten is the foundation of education","","LB-2_tfnz1palq3_z","","dga","","7","709","Song","Parents","","4 years, enroll, school, children","","","To encourage parents to enroll their children in kindergarten and help give them the best chance at completing school","","","","","General Feedback","l","UWR"
"Risks of early marriage","","LB-2_tfnz1palq3_11","Singing Group","dga","","9","827","Song","All","","young, underage, violence dropout","","","To raise awareness about the risks for young girls who are married too early","","","","","General Feedback","l","UWR"
"Child birth registration certificate","","LB-2_tfnz1palq3_12","Jirapa District birth and death registry ","dga","","8","1085","Interview","Parents","","registration, age, birth, information","","","To create awareness about the importance of birth registration and logistics needed to register a child's birth","","","","","General Feedback","l","UWR"
"Routine Immunization","","LB-2_tfnz1palq3_13","Drama Group","dga","","8","122","Drama","Parents","","vaccination, poliomyelitis, diarrhea, diseases","","","To encourage the prevention of diseases and to disprove risks of vaccination","","","","","General Feedback","l","UWR"
"Seasonal Malaria Kemo Prevention Annoucement Message","","LB-2_tfnz1palq3_14","Ghana Health Service.","dga","","6","249","Lecture","","","","","","","","","","","General Feedback","l","UWR"
"New Agriculture messages for August/September 2015 rotation","","LB-2_tfnz1palq3_15","","dga","","7","141","Lecture","All","","Update, new, rotation, content","","","To raise awareness that the Talking Book has been updated with new messages","","","","","General Feedback","l","UWR"
"Prevention of post-harvest losses","","LB-2_tfnz1palq3_16","","dga","","7","524","Drama","Farmers","","losses, harvest, farm effects","","","To create awareness on how to prevent postharvest losses","","","","","General Feedback","l","UWR"
"Second cultivation of beans___b-36343166_2B0ADE43","","LB-2_tfnz1palq3_17","","en","","1","231","","","","","","","","","","","","General Feedback","l","UWR"
"Proper methods of crop storage","","LB-2_tfnz1palq3_18","","dga","","7","649","Drama","Farmers",""," crops, farmers, storage, methods","","","To increase farmers knowledge on how to prevent damages to crops after harvesting and to increase farmers knowledge on the variouse methods of storing crops and the advantages and disadvantages of each each method","","","","","General Feedback","l","UWR"
"B-0003028E_0009_0001_F30E6D78","B-0003028E","B-0003028E_F30E6D78","KONZOKALA-JIRAPA","dga","","0","8","","","2016/03/11","","2015-08:0009","HH Rotation 0:Day 267","","","","","","General Feedback","l","UWR"
"Update #9 messages","B-0003028E","B-0003028E_95072668","KONZOKALA-JIRAPA","dga","","2","8","Lecture","","2016/03/11","","2015-08:0010","HH Rotation 0:Day 267","","","","","","General Feedback","l","UWR"
"Second cultivation of beans___b-36343166_2B0ADE43","","LB-2_o7h369j92r_54","","dga","","3","231","Lecture","","","","","","","","","","","General Agriculture","l","UWR"
"B-000302D2_0004_0001_E501B62E","B-000302D2","B-000302D2_E501B62E","NON-SPECIFIC","dga","","0","3","","","2015/09/10","","2015-09:0004","HH Rotation 0:Day 003","","","","","","General Feedback","l","UWR"
"B-000302D2_0001_0002_3532DE25","B-000302D2","B-000302D2_3532DE25","NON-SPECIFIC","dga","","0","11","","","2015/09/08","","2015-09:0001","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"B-000302D2_0004_0002_F909D61A","B-000302D2","B-000302D2_F909D61A","NON-SPECIFIC","dga","","0","75","","","2015/09/10","","2015-09:0004","HH Rotation 0:Day 003","","","","","","General Feedback","l","UWR"
"New health messages","B-000302D2","B-000302D2_A0912FE0","Introduction","dga","","2","359","","","2015/09/09","","2015-09:0001","HH Rotation 0:Day 002","","","","","","General Feedback","l","UWR"
"B-000302D2_0001_0005_22F4A688","B-000302D2","B-000302D2_22F4A688","NON-SPECIFIC","dga","","0","188","","","2015/09/09","","2015-09:0001","HH Rotation 0:Day 002","","","","","","General Feedback","l","UWR"
"B-000302D2_0001_0006_3D2DD738","B-000302D2","B-000302D2_3D2DD738","NON-SPECIFIC","dga","","0","162","","","2015/09/09","","2015-09:0001","HH Rotation 0:Day 002","","","","","","General Feedback","l","UWR"
"B-000302D2_0001_0007_676D9168","B-000302D2","B-000302D2_676D9168","NON-SPECIFIC","dga","","0","257","","","2015/09/09","","2015-09:0001","HH Rotation 0:Day 002","","","","","","General Feedback","l","UWR"
"B-000302D2_0001_0008_EDB50D2B","B-000302D2","B-000302D2_EDB50D2B","NON-SPECIFIC","dga","","0","178","","","2015/09/09","","2015-09:0001","HH Rotation 0:Day 002","","","","","","General Feedback","l","UWR"
"Groundnuts episode #3","B-000302D2","B-000302D2_FE262EAA","NON-SPECIFIC","dga","","2","868","","","2015/09/10","","2015-09:0004","HH Rotation 0:Day 003","","","","","","General Feedback","l","UWR"
"Causes and prevention of diarrhea in children","B-000302D2","B-000302D2_A501C6DE","Drama Group","dga","","7","550","Drama","Parents","2015/09/11","diarrhea, environmental hygiene, crawling, teething","2015-09:0010","HH Rotation 0:Day 004","To explain the variuos ways children can get diarrhea and how to prevent it","","","","","General Feedback","l","UWR"
"Children with disability also deserve education","B-000302D2","B-000302D2_F8B9E659","Drama Group","dga","","7","453","Drama","Parents","2015/09/11","disability, enrolment, education, detect","2015-09:0010","HH Rotation 0:Day 004","To explain how to detec disability and receive care, and the importance of enrolling in school","","","","","General Feedback","l","UWR"
"Groundnuts AIDS part #1","B-000302D2","B-000302D2_7D6FE628","Drama Group","dga","","7","311","Drama","Farmers","2015/09/11","infection, cash crop, losses, aflatoxin","2015-09:0010","HH Rotation 0:Day 004","To create awareness on how to prevent damages and infection in groundnuts","","","","","General Feedback","l","UWR"
"Groundnuts AIDS part #2","B-000302D2","B-000302D2_79E35F37","NON-SPECIFIC","dga","","2","24","Lecture","","2015/09/11","","2015-09:0010","HH Rotation 0:Day 004","","","","","","General Feedback","l","UWR"
"B-000302D6_0002_0001_58347CA8","B-000302D6","B-000302D6_58347CA8","NON-SPECIFIC","dga","","0","3","","","2015/09/17","","2015-09:0002","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Bush fire prevention ","B-000302D6","B-000302D6_C0482E4A","Ghana National Fire Service-Jirapa","dga","","7","1196","Interview","Farmers","2015/09/18","bush fire, awareness, wildlife","2015-09:0002","HH Rotation 0:Day 002","To create awareness on the causes and effects of bushfires in the district","","","","","General Feedback","l","UWR"
"Register your child's birth cert before the first year ends","B-000302D2","B-000302D2_2B114CCE","Singing Group","dga","","3","386","Song","","2015/09/22","","2015-09:0014","HH Rotation 0:Day 015","","","","","","General Feedback","l","UWR"
"Groundnuts episode #1","B-000302D2","B-000302D2_5DA5B9FF","Singing Group","dga","","7","178","Song","Farmers","2015/09/22","aids, groundnuts, store","2015-09:0014","HH Rotation 0:Day 015","","","","","","General Feedback","l","UWR"
"Hand washing with soap and clean running water","B-000302D2","B-000302D2_2707021E","NON-SPECIFIC","dga","","7","267","Interview","Parents","2015/09/24","clean, hygien, germs, tips, techniques","2015-09:0015","HH Rotation 0:Day 017","To explain how to wash your hands correctly","","","","","General Feedback","l","UWR"
"B-000302D6_0000_0001_794FE743","B-000302D6","B-000302D6_794FE743","NON-SPECIFIC","dga","","0","320","","","2015/09/17","","2015-09:0000","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Groundnuts episode #2","B-000302D6","B-000302D6_4C04B791","NON-SPECIFIC","dga","","2","77","","","2015/09/26","","2015-09:0041","HH Rotation 0:Day 010","","","","","","General Feedback","l","UWR"
"Groundnuts episode end","B-000302D6","B-000302D6_6323DF61","NON-SPECIFIC","dga","","1","42","","","2015/09/26","","2015-09:0041","HH Rotation 0:Day 010","","","","","","General Feedback","l","UWR"
"Summary: Marketting agricultural produce","B-000302D6","B-000302D6_4C3B9A77","NON-SPECIFIC","dga","","3","69","Lecture","","2015/09/26","","2015-09:0041","HH Rotation 0:Day 010","","","","","","General Feedback","l","UWR"
"Summary: Compost manure","B-000302D6","B-000302D6_5D7E0AD5","NON-SPECIFIC","dga","","1","86","","","2015/09/26","","2015-09:0041","HH Rotation 0:Day 010","","","","","","General Feedback","l","UWR"
"Summary: Bush Fire prevention","B-000302D6","B-000302D6_8F9EB33E","NON-SPECIFIC","dga","","3","234","Lecture","","2015/09/26","","2015-09:0041","HH Rotation 0:Day 010","","","","","","General Feedback","l","UWR"
"Summary: Animal and poultry vaccination before harmattan","B-000302D6","B-000302D6_8EDF4E61","NON-SPECIFIC","dga","","3","128","Lecture","","2015/09/27","","2015-09:0041","HH Rotation 0:Day 011","","","","","","General Feedback","l","UWR"
"Summary: Causes and prevention of iarrhea in children","B-000302D6","B-000302D6_8906DAA8","NON-SPECIFIC","dga","","3","209","Lecture","","2015/09/27","","2015-09:0041","HH Rotation 0:Day 011","","","","","","General Feedback","l","UWR"
"Summary: safe delivery ","B-000302D6","B-000302D6_4F407797","NON-SPECIFIC","dga","","1","223","","","2015/09/27","","2015-09:0041","HH Rotation 0:Day 011","","","","","","General Feedback","l","UWR"
"Summary: Hand washing with soap","B-000302D6","B-000302D6_797BC439","NON-SPECIFIC","dga","","2","138","Lecture","","2015/09/27","","2015-09:0041","HH Rotation 0:Day 011","","","","","","General Feedback","l","UWR"
"Summary: Register for your child's birth cert before the first year ends","B-000302D6","B-000302D6_EBA46ED8","NON-SPECIFIC","dga","","3","115","Lecture","","2015/09/27","","2015-09:0041","HH Rotation 0:Day 011","","","","","","General Feedback","l","UWR"
"Summary: Children with disability also deserve education","B-000302D6","B-000302D6_EBC5F92C","NON-SPECIFIC","dga","","3","136","Lecture","","2015/09/27","","2015-09:0041","HH Rotation 0:Day 011","","","","","","General Feedback","l","UWR"
"Animal and poultry vaccination before h","B-000302D2","B-000302D2_F4087478","NON-SPECIFIC","dga","","4","874","Interview","Farmers","2015/09/29","","2015-09:0001","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Good farm produce storage","B-000302D2","B-000302D2_091A18D7","MOFA-Jirapa","dga","","6","639","Interview","Farmers","2015/09/29","store, tripple bags, weevils, damages","2015-09:0002","HH Rotation 0:Day 001","To increase farmers' knowledge on how to prevent crops damages after harvesting and methods use                ","","","","","General Feedback","l","UWR"
"Marketing agriculture proddce","B-000302D2","B-000302D2_9AE1A811","MOFA-Jirapa","dga","","8","742","Interview","Farmers","2015/09/29","market, price, sell, kapaala, bags, bowls","2015-09:0002","HH Rotation 0:Day 001","To link farmers to buyers to whom they can sell in bulk in order to maximize profit","","","","","General Feedback","l","UWR"
"Maketing agric produce #2","B-000302D2","B-000302D2_1BC866ED","NON-SPECIFIC","dga","","1","433","","","2015/09/29","","2015-09:0002","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Advantages of compost manure preparation","B-000302D2","B-000302D2_434A1ADD","MOFA-Jirapa","dga","","9","925","Interview","Farmers","2015/09/29","compost, vine, fertilized, pits, ","2015-09:0002","HH Rotation 0:Day 001","To incease farmers' knowledge on how to prepare compost manure and to outlne the importnce of compost manure over NPK, sulphate of ammonia, and chemical/liquid ferrrrlizer","","","","","General Feedback","l","UWR"
"Summary: Good farm produce storage","B-000302D2","B-000302D2_832AA9B0","NON-SPECIFIC","dga","","3","197","Lecture","","2015/09/29","","2015-09:0003","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Summary: Advantages of Compost manure","B-000302D2","B-000302D2_EF6194FA","NON-SPECIFIC","dga","","4","86","Lecture","","2015/09/29","","2015-09:0003","HH Rotation 0:Day 001","","","","","0","General Feedback","l","UWR"
"Summary: Vaccination poultry","B-000302D2","B-000302D2_757E9D5A","LBG","dga","","2","137","","","2015/09/29","","2015-09:0003","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"b-36343166_0065_0006_88704ACE","b-36343166","b-36343166_88704ACE","Doggoh-Jirapa","dga","","0","11","","","2071/07/12","","2015-5:0065","","","","","","","General Health","l","UWR"
"b-36343166_0065_0011_13CC81C6","b-36343166","b-36343166_13CC81C6","Doggoh-Jirapa","dga","","0","11","","","2071/07/12","","2015-5:0065","","","","","","","General Health","l","UWR"
"Summary: Groundnuts episode #4","B-000802BD","B-000802BD_CF311F7F","NON-SPECIFIC","dga","","2","120","","","2015/10/05","","2015-09:0000","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"New agric messages for October/November 2015","B-000802BD","B-000802BD_775B8498","NON-SPECIFIC","dga","","2","167","Lecture","","2015/10/05","","2015-09:0000","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"New health messages for October/November 2015","B-000802BD","B-000802BD_6392C60B","NON-SPECIFIC","dga","","2","175","Lecture","","2015/10/05","","2015-09:0000","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Groundnuts episode FULL","","LB-2_rxefxl4zxt_en","","dga","","4","1176","Story","","","","","","","","","","","General Agriculture","l","UWR"
"B-000802C0_0022_0001_15050010","B-000802C0","B-000802C0_15050010","NON-SPECIFIC","dga","","0","1123","","","2109/04/16","","2015-08:0022","","","","","","","General Feedback","l","UWR"
"B-000802C0_0022_0002_E95FC0C9","B-000802C0","B-000802C0_E95FC0C9","NON-SPECIFIC","dga","","0","3","","","2109/04/16","","2015-08:0022","","","","","","","General Feedback","l","UWR"
"B-000802C0_0022_0004_336DE0E6","B-000802C0","B-000802C0_336DE0E6","NON-SPECIFIC","dga","","0","2","","","2109/04/16","","2015-08:0022","","","","","","","General Feedback","l","UWR"
"B-000802C0_0022_0005_F77E4335","B-000802C0","B-000802C0_F77E4335","NON-SPECIFIC","dga","","0","7","","","2109/04/16","","2015-08:0022","","","","","","","General Feedback","l","UWR"
"Moringa #1","B-000802C0","B-000802C0_5399CFEA","NON-SPECIFIC","dga","","1","1092","","","2109/04/16","","2015-08:0022","","","","","","","General Feedback","l","UWR"
"B-000802C0_0022_0007_12F179A6","B-000802C0","B-000802C0_12F179A6","NON-SPECIFIC","dga","","0","578","","","2109/04/17","","2015-08:0022","","","","","","","General Feedback","l","UWR"
"Why should we continue listening to the Talking Book messages","B-000802C0","B-000802C0_1305D43A","MOFA-Jirapa","dga","","9","490","Drama","Farmers","2109/04/30","new, talking book, continue","2015-08:0018","","To increase farmers knowledge on the Talking Book Agriculture progra; frequency of rotation and the need for new content in every rotation","","","","","General Feedback","l","UWR"
"New site selection","B-000802C0","B-000802C0_63694FAB","NON-SPECIFIC","dga","","3","687","Drama","","2109/04/30","","2015-08:0018","","","","","","","General Feedback","l","UWR"
"B-000302D6_0020_0001_EB66CFB6","B-000302D6","B-000302D6_EB66CFB6","NON-SPECIFIC","dga","B-000302D6_C0482E4A","0","12","","","2015/09/19","","2015-09:0020","HH Rotation 0:Day 003","","","","","","General Feedback","l","UWR"
"B-000302D6_0010_0002_D758F986","B-000302D6","B-000302D6_D758F986","NON-SPECIFIC","dga","","0","116","","","2015/09/18","","2015-09:0010","HH Rotation 0:Day 002","","","","","","General Feedback","l","UWR"
"B-000302D6_0020_0002_367E7642","B-000302D6","B-000302D6_367E7642","NON-SPECIFIC","dga","B-000302D6_EB66CFB6","0","12","","","2015/09/19","","2015-09:0020","HH Rotation 0:Day 003","","","","","","General Feedback","l","UWR"
"B-000302D6_0040_0001_A2081B7F","B-000302D6","B-000302D6_A2081B7F","NON-SPECIFIC","dga","","0","257","","","2015/09/26","","2015-09:0040","HH Rotation 0:Day 010","","","","","","General Feedback","l","UWR"
"B-000302D6_0040_0002_BD4F105E","B-000302D6","B-000302D6_BD4F105E","NON-SPECIFIC","dga","","0","208","","","2015/09/26","","2015-09:0040","HH Rotation 0:Day 010","","","","","","General Feedback","l","UWR"
"B-000302D6_0040_0003_B78E65C4","B-000302D6","B-000302D6_B78E65C4","NON-SPECIFIC","dga","","0","182","","","2015/09/26","","2015-09:0040","HH Rotation 0:Day 010","","","","","","General Feedback","l","UWR"
"B-000302D6_0040_0004_7BC32395","B-000302D6","B-000302D6_7BC32395","NON-SPECIFIC","dga","","0","183","","","2015/09/26","","2015-09:0040","HH Rotation 0:Day 010","","","","","","General Feedback","l","UWR"
"B-000302D6_0040_0005_6905C79D","B-000302D6","B-000302D6_6905C79D","NON-SPECIFIC","dga","","0","234","","","2015/09/26","","2015-09:0040","HH Rotation 0:Day 010","","","","","","General Feedback","l","UWR"
"B-000302D6_0040_0006_095AEFC0","B-000302D6","B-000302D6_095AEFC0","NON-SPECIFIC","dga","","0","199","","","2015/09/26","","2015-09:0040","HH Rotation 0:Day 010","","","","","","General Feedback","l","UWR"
"B-000302D6_0040_0007_8B92D029","B-000302D6","B-000302D6_8B92D029","NON-SPECIFIC","dga","","0","5","","","2015/09/26","","2015-09:0040","HH Rotation 0:Day 010","","","","","","General Feedback","l","UWR"
"B-000302D6_0044_0003_B53C0673","B-000302D6","B-000302D6_B53C0673","NON-SPECIFIC","dga","","0","98","","","2016/01/21","","2015-09:0044","HH Rotation 0:Day 127","","","","","","General Feedback","l","UWR"
"Summary: Site selection","B-000302D6","B-000302D6_645F8580","NON-SPECIFIC","dga","","1","119","","","2016/01/21","","2015-09:0044","HH Rotation 0:Day 127","","","","","","General Feedback","l","UWR"
"B-000302D6_0044_0005_BDADA868","B-000302D6","B-000302D6_BDADA868","NON-SPECIFIC","dga","","0","0","","","2016/01/21","","2015-09:0044","HH Rotation 0:Day 127","","","","","","General Feedback","l","UWR"
"B-000302D6_0044_0002_C62DA7F2","B-000302D6","B-000302D6_C62DA7F2","NON-SPECIFIC","dga","","0","9","","","2016/01/21","","2015-09:0044","HH Rotation 0:Day 127","","","","","","General Feedback","l","UWR"
"B-000302D6_0047_0001_1D110606","B-000302D6","B-000302D6_1D110606","NON-SPECIFIC","dga","","0","0","","","2016/01/22","","2015-09:0047","HH Rotation 0:Day 128","","","","","","General Feedback","l","UWR"
"B-000302D6_0041_0004_25546E62","B-000302D6","B-000302D6_25546E62","NON-SPECIFIC","dga","","0","148","","","2015/09/26","","2015-09:0041","HH Rotation 0:Day 010","","","","","","General Feedback","l","UWR"
"B-000302D6_0000_0001_AB04A600","B-000302D6","B-000302D6_AB04A600","NON-SPECIFIC","dga","","0","3","","","2016/01/20","","2015-10:0000","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Title: New site selection","B-000302D6","B-000302D6_7112144B","NON-SPECIFIC","dga","","1","4","","","2016/01/20","","2015-10:0000","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"B-000302D6_0000_0003_6C1BC091","B-000302D6","B-000302D6_6C1BC091","NON-SPECIFIC","dga","","0","3","","","2016/01/20","","2015-10:0000","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Summary: Why we should continue listening to the Talking Book","B-000302D6","B-000302D6_EB48BFE4","NON-SPECIFIC","dga","","1","111","","","2016/01/20","","2015-10:0000","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Summary: Site selection","B-000302D6","B-000302D6_CA7C6CE2","NON-SPECIFIC","dga","","1","86","","","2016/01/20","","2015-10:0000","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"New health messages for january/February 2016","B-000302D6","B-000302D6_380271C5","NON-SPECIFIC","dga","","4","117","","","2016/01/20","","2015-10:0000","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"New agric 2016","B-000302D6","B-000302D6_3F02E558","NON-SPECIFIC","dga","","1","152","","","2016/01/20","","2015-10:0001","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"January/February messages 2016","B-000302D6","B-000302D6_6201E27F","NON-SPECIFIC","dga","","1","12","","","2016/01/20","","2015-10:0002","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
